,DATA,ANO,MÊS,PERÍODO,PIS_PASEP,COFINS,ICMS,DEMANDA_CONTRATADA_FP,DEMANDA_REGISTRADA_FP,TAR_TUSD_KW_FP,ENERGIA_PONTA,ENERGIA_FPONTA,TAR_TUSD_KWH_P,TAR_TUSD_KWH_FP,TAR_TE_KWH_P,TAR_TE_KWH_FP,REAT_KVAR_PONTA,REAT_KVAR_FPONTA,TAR_REAT_PONTA,TAR_REAT_FPONTA,VALOR_DA_FATURA,CONSUMO_TOTAL,ACRESCIMO_BAMAR,ACRESCIMO_BVERM1,ACRESCIMO_BVERM2
0,-set-2013,2013,9,35,0.0067,0.0306,0.25,490,92.0,7.51,3229,22025,0.58501,0.02043,0.23177,0.14224,9,622,0.210048,0.210048,9133.79,25254,0.0,0.0,0
1,-out-2013,2013,10,30,0.0032,0.0149,0.25,490,110.0,7.51,3983,23368,0.58501,0.02043,0.23177,0.14224,17,704,0.204531,0.204531,10915.58,27351,0.0,0.0,0
2,-nov-2013,2013,11,32,0.0057,0.0262,0.25,490,106.0,7.51,4434,34048,0.58501,0.02043,0.23177,0.14224,13,864,0.208472,0.208472,13345.75,38482,0.0,0.0,0
3,-dez-2013,2013,12,27,0.0047,0.0215,0.25,250,166.0,7.51,3875,28928,0.58501,0.02043,0.23177,0.14224,0,519,0.153719,0.153719,12712.25,32803,0.0,0.0,0
4,-jan-2014,2014,1,30,0.0069,0.0317,0.25,250,199.42269349671713,7.51,3550,31264,0.58501,0.02043,0.23177,0.14224,25,800,0.1497,0.1497,13121.29,34814,0.0,0.0,0
5,-fev-2014,2014,2,33,0.0055,0.0298,0.25,250,188.28339937530288,7.51,4501,39200,0.58501,0.02043,0.23177,0.14224,22,800,0.1497,0.1497,16104.2,43701,0.0,0.0,0
6,-mar-2014,2014,3,29,0.0035,0.0163,0.25,250,141.08237398366637,7.51,3099,26560,0.58501,0.02043,0.23177,0.14224,37,800,0.1497,0.1497,11686.32,29659,0.0,0.0,0
7,-abr-2014,2014,4,30,0.0045,0.0206,0.25,250,108.8211554092624,7.51,4969,34752,0.58501,0.02043,0.23177,0.14224,0,544,0.1497,0.1497,15342.81,39721,0.0,0.0,0
8,-mai-2014,2014,5,33,0.0072,0.0331,0.25,250,100.0,7.51,2859,20640,0.58501,0.02043,0.23177,0.14224,0,288,0.1497,0.1497,10434.35,23499,0.0,0.0,0
9,-jun-2014,2014,6,28,0.006,0.0277,0.25,250,108.0,7.587067,4441,30464,0.595157,0.021466,0.249872,0.152088,0,320,0.160219,0.160219,14548.09,34905,0.0,0.0,0
10,-jul-2014,2014,7,29,0.0054,0.0248,0.25,250,96.0,7.87,4870,32480,0.63239,0.02527,0.31626,0.1882,0,320,0.19887,0.19887,17952.67,37350,0.0,0.0,0
11,-ago-2014,2014,8,30,0.0066,0.0303,0.25,250,90.0,7.87,4366,30880,0.63239,0.02527,0.31626,0.1882,0,160,0.19887,0.19887,16719.09,35246,0.0,0.0,0
12,-set-2014,2014,9,32,0.0078,0.0361,0.25,250,149.0,7.87,4805,33760,0.63239,0.02527,0.31626,0.1882,0,480,0.19887,0.19887,18337.61,38565,0.0,0.0,0
13,-out-2014,2014,10,31,0.007,0.032,0.25,250,114.0,7.87,4739,33280,0.63239,0.02527,0.31626,0.1882,0,320,0.19887,0.19887,17951.3,38019,0.0,0.0,0
14,-nov-2014,2014,11,31,0.0061,0.0282,0.25,250,154.0,7.87,4830,35840,0.63239,0.02527,0.31626,0.1882,0,480,0.19887,0.19887,18708.51,40670,0.0,0.0,0
