,DATA,ANO,MÊS,PERÍODO,PIS_PASEP,COFINS,ICMS,DEMANDA_CONTRATADA_FP,DEMANDA_REGISTRADA_FP,TAR_TUSD_KW_FP,ENERGIA_PONTA,ENERGIA_FPONTA,TAR_TUSD_KWH_P,TAR_TUSD_KWH_FP,TAR_TE_KWH_P,TAR_TE_KWH_FP,REAT_KVAR_PONTA,REAT_KVAR_FPONTA,TAR_REAT_PONTA,TAR_REAT_FPONTA,VALOR_DA_FATURA,CONSUMO_TOTAL,ACRESCIMO_BAMAR,ACRESCIMO_BVERM1,ACRESCIMO_BVERM2
0,2014-04-01,2014,4,28.0,0.00045,0.0206,0.3,250,135.0,7.51,1894.0,12720.0,0.58501,0.02043,0.23177,0.14224,51.0,1440.0,0.1497,0.1497,7561.75,14614.0,0.0,0.0,0
1,2014-05-01,2014,5,25.62863290893368,0.004590375224088539,0.027109970497454595,0.3,250,166.65777189111745,7.51,2182.3225732652268,12453.800270779731,0.58501,0.02043,0.23177,0.14224,23.6404946135365,866.8241410798959,0.1497,0.1497,6901.925983688951,14636.122844044956,0.0,0.0,0
2,2014-06-01,2014,6,28.0,0.006,0.0277,0.3,250,203.0,7.51,2549.0,16752.0,0.58501,0.02043,0.23177,0.14224,15.0,769.0,0.1497,0.1497,8919.08,19301.0,0.0,0.0,0
3,2014-07-01,2014,7,33.0,0.0054,0.0248,0.3,250,241.0,7.80452,2852.0,22848.0,0.623773,0.02439,0.300898,0.179844,24.0,1104.0,0.189583,0.189928,12360.99,25700.0,0.0,0.0,0
4,2014-08-01,2014,8,30.0,0.0066,0.0306,0.3,250,264.0,7.87,2439.0,17232.0,0.63239,0.02527,0.31626,0.1882,45.0,1584.0,0.19887,0.19887,10915.41,19671.0,0.0,0.0,0
5,2014-09-01,2014,9,29.221747108361022,0.007218350126172189,0.03319327478254003,0.3,250,277.9873200859623,7.87,2367.1943675598004,15676.169943449906,0.63239,0.02527,0.31626,0.1882,81.9050978974488,1970.5203401315666,0.19887,0.19887,10536.635810526499,18043.364311009707,0.0,0.0,0
6,2014-10-01,2014,10,30.0,0.007,0.032,0.3,250,315.0,7.87,2238.0,16080.0,0.63239,0.02527,0.31626,0.1882,80.0,1632.0,0.19887,0.19887,10386.61,18318.0,0.0,0.0,0
7,2014-11-01,2014,11,30.0,0.0061,0.0282,0.3,250,334.0,7.87,1663.0,14256.0,0.63239,0.02527,0.31626,0.1882,33.0,624.0,0.19887,0.19887,9017.67,15919.0,0.0,0.0,0
8,2014-12-01,2014,12,31.0,0.0048,0.0223,0.3,250,16.0,7.87,1757.0,15600.0,0.63239,0.02527,0.31626,0.1882,185.0,2160.0,0.19887,0.19887,9653.05,17357.0,0.0,0.0,0
9,2015-01-01,2015,1,30.143509034919468,0.008535896765685199,0.03938302777865878,0.3,250,-47.84283097476704,7.87,1857.5278284590304,17388.472283340445,0.63239,0.02527,0.31626,0.1882,276.4277721528282,2614.6603497122405,0.19887,0.19887,10930.314079428143,19246.000111799476,0.0,0.0,0
10,2015-02-01,2015,2,29.0,0.0114,0.0525,0.3,250,37.0,7.87,1846.0,18480.0,0.63239,0.02527,0.31626,0.1882,0.0,2160.0,0.19887,0.19887,12283.91,20326.0,0.0,609.78,0
11,2015-03-01,2015,3,29.67943718140097,0.0065607985281664226,0.030416363572204657,0.3,250,54.601833441820546,7.87,1749.251276722561,18354.223338714677,0.63239,0.02527,0.31626,0.1882,163.90560334547584,1681.338403486412,0.19887,0.19887,13473.938372371274,20103.47461543724,0.0,0.0,0
12,2015-04-01,2015,4,30.0,0.0037,0.0173,0.3,250,44.0,7.86,2246.0,19680.0,0.68743,0.07802,0.40651,0.24402,50.0,1200.0,0.25756,0.25756,16110.85,21926.0,0.0,1205.93,0
13,2015-05-01,2015,5,29.0,0.0105,0.0483,0.3,250,46.0,7.86,3893.0,25680.0,0.68743,0.07802,0.40651,0.24402,2.0,720.0,0.25756,0.25756,22186.71,29573.0,0.0,1626.51,0
14,2015-06-01,2015,6,32.0,0.0144,0.0665,0.3,250,60.0,7.86,5580.0,36240.0,0.68743,0.07802,0.40651,0.24402,0.0,240.0,0.25756,0.25756,31072.09,41820.0,0.0,2300.1,0
15,2015-07-01,2015,7,30.0,0.0111,0.0512,0.3,250,46.0,10.029,5429.0,34560.0,0.824878,0.07775,0.338146,0.208155,0.0,240.0,0.218958,0.218958,28634.16,39989.0,0.0,2199.39,0
16,2015-08-01,2015,8,31.0,0.0078,0.0361,0.3,250,120.0,10.27,5674.0,35404.0,0.84014981,0.07772003,0.33054988,0.20416987,0.0,230.0,0.2146987,0.2146987,28613.17,41078.0,0.0,2259.3,0
17,2015-09-01,2015,9,32.0,0.0109,0.0505,0.3,250,158.0,10.27,4915.0,35421.0,0.84015056,0.07772,0.33054934,0.20417013,6.0,590.0,0.215,0.21469492,27882.06,40336.0,0.0,1999.37,0
18,2015-10-01,2015,10,30.0,0.0106,0.0484,0.3,250,172.0,10.27,7120.0,42642.0,0.84015028,0.07772009,0.33055056,0.20416983,0.0,482.0,0.21470954,0.21470954,34369.71,49762.0,0.0,2239.31,0
19,2015-11-01,2015,11,32.0,0.0122,0.0565,0.3,250,200.0,10.27,6784.0,48017.0,0.84015035,0.07771997,0.33054982,0.20416998,3.0,633.0,0.21333333,0.21470754,36767.2,54801.0,0.0,2466.06,0
20,2015-12-01,2015,12,29.0,0.0102,0.0469,0.3,250,200.0,10.27,6546.0,43964.0,0.84014971,0.07771995,0.33054995,0.20417,0.0,481.0,0.21471933,0.21471933,34687.51,50510.0,0.0,2272.97,0
21,2016-01-01,2016,1,31.0,0.0084,0.0388,0.3,250,183.0,10.27,3257.0,32639.0,0.84015045,0.07771991,0.33054959,0.20417016,0.0,127.0,0.21464567,0.21464567,25478.06,35896.0,0.0,1615.33,0
22,2016-02-01,2016,2,32.0,0.0106,0.0488,0.3,250,104.0,10.27,2803.0,33430.0,0.84014984,0.07771971,0.33054941,0.20416991,0.0,0.0,0.21464567,0.21464567,20099.27,36233.0,0.0,1360.99,0
23,2016-03-01,2016,3,28.0,0.0112,0.0518,0.3,250,161.0,10.27,5014.0,39142.0,0.84015,0.07772,0.33055,0.20417,0.0,0.0,0.21464567,0.21464567,29072.0,44156.0,407.16,510.36,0
24,2016-04-01,2016,4,30.0,0.0069,0.0319,0.3,250,195.0,10.27,7385.0,48879.0,0.84015,0.07772,0.33055,0.20417,0.0,0.0,0.21464567,0.21464567,36881.8,56264.0,429.67,0.0,0
25,2016-05-01,2016,5,29.0,0.0075,0.0337,0.3,250,177.0,10.27,7029.0,47486.0,0.84015,0.07772,0.33055,0.20417,0.0,0.0,0.21464567,0.21464567,34492.17,54515.0,0.0,0.0,0
26,2016-06-01,2016,6,32.0,0.0089,0.0413,0.3,250,208.0,10.27,8984.0,60550.0,0.84015,0.07772,0.33055,0.20417,0.0,0.0,0.21464567,0.21464567,44842.56,69534.0,0.0,0.0,0
27,2016-07-01,2016,7,30.0,0.0075,0.0351,0.3,250,214.0,9.27333333,8589.0,57885.0,0.76217255,0.0633957,0.32212947,0.20653347,0.0,0.0,0.21643,0.21643,39844.5,66474.0,0.0,0.0,0
28,2016-08-01,2016,8,32.0,0.0086,0.0395,0.3,250,186.0,9.12,6728.0,53378.0,0.74727,0.06075,0.32052,0.20697,0.0,0.0,0.21643,0.21643,34262.71,60106.0,0.0,0.0,0
29,2016-09-01,2016,9,30.0,0.0107,0.0488,0.3,250,175.0,9.12,7969.0,51063.0,0.74727,0.06075,0.32052,0.20697,0.0,0.0,0.21643,0.21643,35588.46,59032.0,0.0,0.0,0
30,2016-10-01,2016,10,30.0,0.0103,0.0473,0.3,250,161.0,9.12,7119.0,46503.0,0.74727,0.06075,0.32052,0.20697,0.0,1.0,0.21643,0.21643,32682.81,53622.0,0.0,0.0,0
31,2016-11-01,2016,11,33.0,0.0091,0.0416,0.3,250,160.0,9.12,5985.0,48629.0,0.74727,0.06075,0.32052,0.20697,0.0,0.0,0.21643,0.21643,32023.94,54614.0,426.46,0.0,0
32,2016-12-01,2016,12,29.0,0.0097,0.0451,0.3,250,129.0,9.12,3617.0,32371.0,0.74727,0.06075,0.32052,0.20697,0.0,1.0,0.21643,0.21643,21934.58,35988.0,254.15,0.0,0
33,2017-01-01,2017,1,29.0,0.0105,0.0488,0.3,250,146.0,9.12,3381.0,36846.0,0.74727,0.06075,0.32052,0.20697,0.0,1.0,0.21643,0.21643,24272.1,40227.0,0.0,0.0,0
34,2017-02-01,2017,2,31.0,0.009,0.0416,0.3,250,84.0,9.12,2920.0,33616.0,0.74727,0.06075,0.32052,0.20697,0.0,0.0,0.21643,0.21643,20834.31,36536.0,0.0,0.0,0
35,2017-03-01,2017,3,29.0,0.0089,0.0413,0.3,250,158.0,9.12,4341.0,37908.0,0.74727,0.06075,0.32052,0.20697,0.0,0.0,0.21643,0.21643,25357.72,42249.0,464.38,0.0,0
36,2017-04-01,2017,4,29.0,0.0085,0.0388,0.3,250,183.0,9.12,7646.0,46140.0,0.74727,0.06075,0.30070887,0.18639749,0.0,0.0,0.21643,0.21643,33599.03,53786.0,636.24,659.22,0
37,2017-05-01,2017,5,33.0,0.0098,0.0449,0.3,250,172.0,9.12,7120.0,48730.0,0.74727,0.06075,0.2932177,0.17817423,0.0,20.0,0.202,0.202,33532.54,55850.0,0.0,1675.5,0
38,2017-06-01,2017,6,29.0,0.0117,0.0541,0.3,250,173.0,9.12,7707.0,47804.0,0.74727,0.06075,0.31569,0.20214,0.0,57.0,0.2116,0.2116,35570.57,55511.0,0.0,937.59,0
39,2017-07-01,2017,7,31.0,0.0102,0.047,0.3,250,171.84,11.14967742,7694.88,48376.32,0.83011774,0.04220613,0.34452484,0.21952645,0.0,36.162,0.22994258,0.22994258,36532.7,56071.2,767.55,0.0,0
40,2017-08-01,2017,8,31.0,0.0085,0.0393,0.3,250,147.84,11.54,5704.8,44226.96,0.84605,0.03864,0.35007,0.22287,0.0,36.242,0.23347,0.23347,32461.07,49931.76,748.93,1173.34,0
41,2017-09-01,2017,9,31.0,0.0085,0.0394,0.3,250,164.16,11.54,7346.16,47557.44,0.84605,0.03864,0.35007,0.22287,0.0,0.429,0.23347,0.23347,36783.64,54903.6,701.67,1473.32,0
42,2017-10-01,2017,10,32.0,0.009,0.0412,0.3,250,170.88,11.54,6449.76,45673.2,0.84605,0.03864,0.35007,0.22287,0.0,0.0,0.23347,0.23347,34582.24,52122.96,843.43,1326.16,0
43,2017-11-01,2017,11,29.0,0.0096,0.0441,0.3,250,151.68,11.54,5664.72,43942.08,0.84605,0.03864,0.35007,0.22287,0.0,0.0,0.23347,0.23347,33777.41,49606.8,0.0,3226.61,0
44,2017-12-01,2017,12,31.0,0.0096,0.0441,0.3,250,190.08,11.54,6290.64,51416.64,0.84605,0.03864,0.35007,0.22287,0.0,0.0,0.23347,0.23347,38023.94,57707.28,0.0,3554.21,0
45,2018-01-01,2018,1,31.0,0.0092,0.0423,0.3,250,141.12,11.54,3058.58,36198.24,0.84605,0.03864,0.35007,0.22287,0.0,0.0,0.23347,0.23347,24051.12,39256.82,0.0,936.05,0
46,2018-02-01,2018,2,30.0,0.0096,0.0444,0.3,250,123.84,11.54,3368.4,37229.4,0.84605,0.03864,0.35007,0.22287,0.0,0.0,0.23347,0.23347,25901.6,40597.8,0.0,0.0,0
47,2018-03-01,2018,3,29.0,0.0045,0.0208,0.3,250,162.24,11.54,5094.24,42654.96,0.84605,0.03864,0.35007,0.22287,0.0,0.0,0.23347,0.23347,28029.91,47749.2,0.0,0.0,0
48,2018-04-01,2018,4,29.0,0.0103,0.0478,0.3,250,178.56,11.54,7291.2,49216.8,0.84605,0.03864,0.35007,0.22287,0.0,0.594,0.23347,0.23347,35829.07,56508.0,0.0,0.0,0
